Tipo,Combinacion,Categoria,Salida,Total_Trades,Alcanza,Pct_Alcance,Pips_Por_Trade,Pips_Totales,Score
SELL,K,Pips_Fijos,P100,336,38,11.30952380952381,108.29473684210528,4115.200000000001,465.4095238095239
SELL,K,Pips_Fijos,P100+,336,38,11.30952380952381,108.29473684210528,4115.200000000001,465.4095238095239
SELL,K,Pips_Fijos,P80,336,48,14.285714285714285,84.97916666666667,4079.0,582.7142857142857
SELL,K,Pips_Fijos,P90,336,42,12.5,95.93333333333332,4029.2,503.65
SELL,K,Pips_Fijos,P85,336,43,12.797619047619047,90.71627906976745,3900.8,499.2095238095238
SELL,K,Pips_Fijos,P10,336,271,80.65476190476191,13.058671586715866,3538.8999999999996,2854.291369047619
BUY,K,Pips_Fijos,P10,338,273,80.76923076923077,12.363003663003663,3375.1,2726.0423076923075
BUY,K,Pips_Fijos,P100+,338,29,8.579881656804734,104.52758620689656,3031.3,260.0819526627219
BUY,K,Pips_Fijos,P100,338,29,8.579881656804734,104.52758620689656,3031.3,260.0819526627219
SELL,K,Pips_Fijos,P5,336,300,89.28571428571429,7.780333333333335,2334.1000000000004,2084.017857142858
BUY,K,Pips_Fijos,P5,338,305,90.23668639053254,7.192786885245902,2193.8,1979.612426035503
SELL,K,Retrocesos,R20%,336,325,96.72619047619048,3.282461538461539,1066.8000000000002,1031.8750000000002
SELL,K,Retrocesos,R25%,336,324,96.42857142857143,3.0972222222222223,1003.5,967.6607142857143
SELL,K,Retrocesos,R30%,336,324,96.42857142857143,2.9867283950617285,967.7,933.1392857142857
SELL,K,Retrocesos,R35%,336,321,95.53571428571429,2.6613707165109033,854.3,816.1616071428572
BUY,K,Retrocesos,R30%,338,324,95.85798816568047,2.4438271604938273,791.8000000000001,759.003550295858
BUY,K,Retrocesos,R35%,338,323,95.56213017751479,2.308359133126935,745.6,712.5112426035503
BUY,K,Retrocesos,R20%,338,324,95.85798816568047,2.232407407407407,723.3,693.3408284023667
SELL,K,Retrocesos,R40%,336,319,94.94047619047619,2.248902821316615,717.4000000000001,681.1029761904763
BUY,K,Retrocesos,R25%,338,324,95.85798816568047,2.2049382716049384,714.4,684.8094674556212
BUY,K,Retrocesos,R40%,338,323,95.56213017751479,2.1009287925696594,678.5999999999999,648.4846153846153
BUY,K,Retrocesos,R45%,338,323,95.56213017751479,2.027863777089783,655.0,625.9319526627219
SELL,K,Retrocesos,R45%,336,319,94.94047619047619,2.010971786833856,641.5,609.0431547619047
BUY,K,Retrocesos,R50%,338,323,95.56213017751479,1.8616099071207428,601.3,574.6150887573964
SELL,K,Retrocesos,R50%,336,317,94.34523809523809,1.7441640378548895,552.9,521.6348214285714
BUY,K,Cruces_New,LWMA20×LWMA200,338,337,99.70414201183432,0.5154302670623143,173.69999999999993,173.18609467455613
BUY,K,Cruces_New,SMA5×LWMA200,338,338,100.0,0.32159763313609496,108.7000000000001,108.7000000000001
BUY,K,Cruces_New,LWMA20×LWMA50,338,338,100.0,0.2366863905325442,79.99999999999994,79.99999999999994
BUY,K,Cruces_Orig,Precio×SMA5,338,338,100.0,0.04852071005917155,16.399999999999984,16.399999999999984
BUY,K,Cruces_New,SMA5×LWMA20,338,338,100.0,-0.15650887573964506,-52.900000000000034,-52.900000000000034
BUY,K,Cruces_New,SMA5×LWMA50,338,338,100.0,-0.23964497041420105,-80.99999999999996,-80.99999999999996
BUY,K,Cruces_Orig,LWMA100×105,338,338,100.0,-0.2695266272189349,-91.1,-91.1
SELL,K,Cruces_Orig,Precio×SMA5,336,336,100.0,-0.3279761904761905,-110.2,-110.2
